Date, Close
10/08/24,5751.13
10/07/24,5695.94
10/04/24,5751.07
10/03/24,5699.94
10/02/24,5709.54
10/01/24,5708.75
09/30/24,5762.48
09/27/24,5738.17
09/26/24,5745.37
09/25/24,5722.26
09/24/24,5732.93
09/23/24,5718.57
09/20/24,5702.55
09/19/24,5713.64
09/18/24,5618.26
09/17/24,5634.58
09/16/24,5633.09
09/13/24,5626.02
09/12/24,5595.76
09/11/24,5554.13
09/10/24,5495.52
09/09/24,5471.05
09/06/24,5408.42
09/05/24,5503.41
09/04/24,5520.07
09/03/24,5528.93
08/30/24,5648.4
08/29/24,5591.96
08/28/24,5592.18
08/27/24,5625.8
08/26/24,5616.84
08/23/24,5634.61
08/22/24,5570.64
08/21/24,5620.85
08/20/24,5597.12
08/19/24,5608.25
08/16/24,5554.25
08/15/24,5543.22
08/14/24,5455.21
08/13/24,5434.43
08/12/24,5344.39
08/09/24,5344.16
08/08/24,5319.31
08/07/24,5199.5
08/06/24,5240.03
08/05/24,5186.33
08/02/24,5346.56
08/01/24,5446.68
07/31/24,5522.3
07/30/24,5436.44
07/29/24,5463.54
07/26/24,5459.1
07/25/24,5399.22
07/24/24,5427.13
07/23/24,5555.74
07/22/24,5564.41
07/19/24,5505
07/18/24,5544.59
07/17/24,5588.27
07/16/24,5667.2
07/15/24,5631.22
07/12/24,5615.35
07/11/24,5584.54
07/10/24,5633.91
07/09/24,5576.98
07/08/24,5572.85
07/05/24,5567.19
07/03/24,5537.02
07/02/24,5509.01
07/01/24,5475.09
06/28/24,5460.48
06/27/24,5482.87
06/26/24,5477.9
06/25/24,5469.3
06/24/24,5447.87
06/21/24,5464.62
06/20/24,5473.17
06/18/24,5487.03
06/17/24,5473.23
06/14/24,5431.6
06/13/24,5433.74
06/12/24,5421.03
06/11/24,5375.32
06/10/24,5360.79
06/07/24,5346.99
06/06/24,5352.96
06/05/24,5354.03
06/04/24,5291.34
06/03/24,5283.4
05/31/24,5277.51
05/30/24,5235.48
05/29/24,5266.95
05/28/24,5306.04
05/24/24,5304.72
05/23/24,5267.84
05/22/24,5307.01
05/21/24,5321.41
05/20/24,5308.13
05/17/24,5303.27
05/16/24,5297.1
05/15/24,5308.15
05/14/24,5246.68
05/13/24,5221.42
05/10/24,5222.68
05/09/24,5214.08
05/08/24,5187.67
05/07/24,5187.7
05/06/24,5180.74
05/03/24,5127.79
05/02/24,5064.2
05/01/24,5018.39
04/30/24,5035.69
04/29/24,5116.17
04/26/24,5099.96
04/25/24,5048.42
04/24/24,5071.63
04/23/24,5070.55
04/22/24,5010.6
04/19/24,4967.23
04/18/24,5011.12
04/17/24,5022.21
04/16/24,5051.41
04/15/24,5061.82
04/12/24,5123.41
04/11/24,5199.06
04/10/24,5160.64
04/09/24,5209.91
04/08/24,5202.39
04/05/24,5204.34
04/04/24,5147.21
04/03/24,5211.49
04/02/24,5205.81
04/01/24,5243.77
03/28/24,5254.35
03/27/24,5248.49
03/26/24,5203.58
03/25/24,5218.19
03/22/24,5234.18
03/21/24,5241.53
03/20/24,5224.62
03/19/24,5178.51
03/18/24,5149.42
03/15/24,5117.09
03/14/24,5150.48
03/13/24,5165.31
03/12/24,5175.27
03/11/24,5117.94
03/08/24,5123.69
03/07/24,5157.36
03/06/24,5104.76
03/05/24,5078.65
03/04/24,5130.95
03/01/24,5137.08
02/29/24,5096.27
02/28/24,5069.76
02/27/24,5078.18
02/26/24,5069.53
02/23/24,5088.8
02/22/24,5087.03
02/21/24,4981.8
02/20/24,4975.51
02/16/24,5005.57
02/15/24,5029.73
02/14/24,5000.62
02/13/24,4953.17
02/12/24,5021.84
02/09/24,5026.61
02/08/24,4997.91
02/07/24,4995.06
02/06/24,4954.23
02/05/24,4942.81
02/02/24,4958.61
02/01/24,4906.19
01/31/24,4845.65
01/30/24,4924.97
01/29/24,4927.93
01/26/24,4890.97
01/25/24,4894.16
01/24/24,4868.55
01/23/24,4864.6
01/22/24,4850.43
01/19/24,4839.81
01/18/24,4780.94
01/17/24,4739.21
01/16/24,4765.98
01/12/24,4783.83
01/11/24,4780.24
01/10/24,4783.45
01/09/24,4756.5
01/08/24,4763.54
01/05/24,4697.24
01/04/24,4688.68
01/03/24,4704.81
01/02/24,4742.83
12/29/23,4769.83
12/28/23,4783.35
12/27/23,4781.58
12/26/23,4774.75
12/22/23,4754.63
12/21/23,4746.75
12/20/23,4698.35
12/19/23,4768.37
12/18/23,4740.56
12/15/23,4719.19
12/14/23,4719.55
12/13/23,4707.09
12/12/23,4643.7
12/11/23,4622.44
12/08/23,4604.37
12/07/23,4585.59
12/06/23,4549.34
12/05/23,4567.18
12/04/23,4569.78
12/01/23,4594.63
11/30/23,4567.8
11/29/23,4550.58
11/28/23,4554.89
11/27/23,4550.43
11/24/23,4559.34
11/22/23,4556.62
11/21/23,4538.19
11/20/23,4547.38
11/17/23,4514.02
11/16/23,4508.24
11/15/23,4502.88
11/14/23,4495.7
11/13/23,4411.55
11/10/23,4415.24
11/09/23,4347.35
11/08/23,4382.78
11/07/23,4378.38
11/06/23,4365.98
11/03/23,4358.34
11/02/23,4317.78
11/01/23,4237.86
10/31/23,4193.8
10/30/23,4166.82
10/27/23,4117.37
10/26/23,4137.23
10/25/23,4186.77
10/24/23,4247.68
10/23/23,4217.04
10/20/23,4224.16
10/19/23,4278
10/18/23,4314.6
10/17/23,4373.2
10/16/23,4373.63
10/13/23,4327.78
10/12/23,4349.61
10/11/23,4376.95
10/10/23,4358.24
10/09/23,4335.66
10/06/23,4308.5
10/05/23,4258.19
10/04/23,4263.75
10/03/23,4229.45
10/02/23,4288.39
09/29/23,4288.05
09/28/23,4299.7
09/27/23,4274.51
09/26/23,4273.53
09/25/23,4337.44
09/22/23,4320.06
09/21/23,4330
09/20/23,4402.2
09/19/23,4443.95
09/18/23,4453.53
09/15/23,4450.32
09/14/23,4505.1
09/13/23,4467.44
09/12/23,4461.9
09/11/23,4487.46
09/08/23,4457.49
09/07/23,4451.14
09/06/23,4465.48
09/05/23,4496.83
09/01/23,4515.77
08/31/23,4507.66
08/30/23,4514.87
08/29/23,4497.63
08/28/23,4433.31
08/25/23,4405.71
08/24/23,4376.31
08/23/23,4436.01
08/22/23,4387.55
08/21/23,4399.77
08/18/23,4369.71
08/17/23,4370.36
08/16/23,4404.33
08/15/23,4437.86
08/14/23,4489.72
08/11/23,4464.05
08/10/23,4468.83
08/09/23,4467.71
08/08/23,4499.38
08/07/23,4518.44
08/04/23,4478.03
08/03/23,4501.89
08/02/23,4513.39
08/01/23,4576.73
07/31/23,4588.96
07/28/23,4582.23
07/27/23,4537.41
07/26/23,4566.75
07/25/23,4567.46
07/24/23,4554.64
07/21/23,4536.34
07/20/23,4534.87
07/19/23,4565.72
07/18/23,4554.98
07/17/23,4522.79
07/14/23,4505.42
07/13/23,4510.04
07/12/23,4472.16
07/11/23,4439.26
07/10/23,4409.53
07/07/23,4398.95
07/06/23,4411.59
07/05/23,4446.82
07/03/23,4455.59
06/30/23,4450.38
06/29/23,4396.44
06/28/23,4376.86
06/27/23,4378.41
06/26/23,4328.82
06/23/23,4348.33
06/22/23,4381.89
06/21/23,4365.69
06/20/23,4388.71
06/16/23,4409.59
06/15/23,4425.84
06/14/23,4372.59
06/13/23,4369.01
06/12/23,4338.93
06/09/23,4298.86
06/08/23,4293.93
06/07/23,4267.52
06/06/23,4283.85
06/05/23,4273.79
06/02/23,4282.37
06/01/23,4221.02
05/31/23,4179.83
05/30/23,4205.52
05/26/23,4205.45
05/25/23,4151.28
05/24/23,4115.24
05/23/23,4145.58
05/22/23,4192.63
05/19/23,4191.98
05/18/23,4198.05
05/17/23,4158.77
05/16/23,4109.9
05/15/23,4136.28
05/12/23,4124.08
05/11/23,4130.62
05/10/23,4137.64
05/09/23,4119.17
05/08/23,4138.12
05/05/23,4136.25
05/04/23,4061.22
05/03/23,4090.75
05/02/23,4119.58
05/01/23,4167.87
04/28/23,4169.48
04/27/23,4135.35
04/26/23,4055.99
04/25/23,4071.63
04/24/23,4137.04
04/21/23,4133.52
04/20/23,4129.79
04/19/23,4154.52
04/18/23,4154.87
04/17/23,4151.32
04/14/23,4137.64
04/13/23,4146.22
04/12/23,4091.95
04/11/23,4108.94
04/10/23,4109.11
04/06/23,4105.02
04/05/23,4090.38
04/04/23,4100.6
04/03/23,4124.51
03/31/23,4109.31
03/30/23,4050.83
03/29/23,4027.81
03/28/23,3971.27
03/27/23,3977.53
03/24/23,3970.99
03/23/23,3948.72
03/22/23,3936.97
03/21/23,4002.87
03/20/23,3951.57
03/17/23,3916.64
03/16/23,3960.28
03/15/23,3891.93
03/14/23,3919.29
03/13/23,3855.76
03/10/23,3861.59
03/09/23,3918.32
03/08/23,3992.01
03/07/23,3986.37
03/06/23,4048.42
03/03/23,4045.64
03/02/23,3981.35
03/01/23,3951.39
02/28/23,3970.15
02/27/23,3982.24
02/24/23,3970.04
02/23/23,4012.32
02/22/23,3991.05
02/21/23,3997.34
02/17/23,4079.09
02/16/23,4090.41
02/15/23,4147.6
02/14/23,4136.13
02/13/23,4137.29
02/10/23,4090.46
02/09/23,4081.5
02/08/23,4117.86
02/07/23,4164
02/06/23,4111.08
02/03/23,4136.48
02/02/23,4179.76
02/01/23,4119.21
01/31/23,4076.6
01/30/23,4017.77
01/27/23,4070.56
01/26/23,4060.43
01/25/23,4016.22
01/24/23,4016.95
01/23/23,4019.81
01/20/23,3972.61
01/19/23,3898.85
01/18/23,3928.86
01/17/23,3990.97
01/13/23,3999.09
01/12/23,3983.17
01/11/23,3969.61
01/10/23,3919.25
01/09/23,3892.09
01/06/23,3895.08
01/05/23,3808.1
01/04/23,3852.97
01/03/23,3824.14
12/30/22,3839.5
12/29/22,3849.28
12/28/22,3783.22
12/27/22,3829.25
12/23/22,3844.82
12/22/22,3822.39
12/21/22,3878.44
12/20/22,3821.62
12/19/22,3817.66
12/16/22,3852.36
12/15/22,3895.75
12/14/22,3995.32
12/13/22,4019.65
12/12/22,3990.56
12/09/22,3934.38
12/08/22,3963.51
12/07/22,3933.92
12/06/22,3941.26
12/05/22,3998.84
12/02/22,4071.7
12/01/22,4076.57
11/30/22,4080.11
11/29/22,3957.63
11/28/22,3963.94
11/25/22,4026.12
11/23/22,4027.26
11/22/22,4003.58
11/21/22,3949.94
11/18/22,3965.34
11/17/22,3946.56
11/16/22,3958.79
11/15/22,3991.73
11/14/22,3957.25
11/11/22,3992.93
11/10/22,3956.37
11/09/22,3748.57
11/08/22,3828.11
11/07/22,3806.8
11/04/22,3770.55
11/03/22,3719.89
11/02/22,3759.69
11/01/22,3856.1
10/31/22,3871.98
10/28/22,3901.06
10/27/22,3807.3
10/26/22,3830.6
10/25/22,3859.11
10/24/22,3797.34
10/21/22,3752.75
10/20/22,3665.78
10/19/22,3695.16
10/18/22,3719.98
10/17/22,3677.95
10/14/22,3583.07
10/13/22,3669.91
10/12/22,3577.03
10/11/22,3588.84
10/10/22,3612.39
10/07/22,3639.66
10/06/22,3744.52
10/05/22,3783.28
10/04/22,3790.93
10/03/22,3678.43
09/30/22,3585.62
09/29/22,3640.47
09/28/22,3719.04
09/27/22,3647.29
09/26/22,3655.04
09/23/22,3693.23
09/22/22,3757.99
09/21/22,3789.93
09/20/22,3855.93
09/19/22,3899.89
09/16/22,3873.33
09/15/22,3901.35
09/14/22,3946.01
09/13/22,3932.69
09/12/22,4110.41
09/09/22,4067.36
09/08/22,4006.18
09/07/22,3979.87
09/06/22,3908.19
09/02/22,3924.26
09/01/22,3966.85
08/31/22,3955
08/30/22,3986.16
08/29/22,4030.61
08/26/22,4057.66
08/25/22,4199.12
08/24/22,4140.77
08/23/22,4128.73
08/22/22,4137.99
08/19/22,4228.48
08/18/22,4283.74
08/17/22,4274.04
08/16/22,4305.2
08/15/22,4297.14
08/12/22,4280.15
08/11/22,4207.27
08/10/22,4210.24
08/09/22,4122.47
08/08/22,4140.06
08/05/22,4145.19
08/04/22,4151.94
08/03/22,4155.17
08/02/22,4091.19
08/01/22,4118.63
07/29/22,4130.29
07/28/22,4072.43
07/27/22,4023.61
07/26/22,3921.05
07/25/22,3966.84
07/22/22,3961.63
07/21/22,3998.95
07/20/22,3959.9
07/19/22,3936.69
07/18/22,3830.85
07/15/22,3863.16
07/14/22,3790.38
07/13/22,3801.78
07/12/22,3818.8
07/11/22,3854.43
07/08/22,3899.38
07/07/22,3902.62
07/06/22,3845.08
07/05/22,3831.39
07/01/22,3825.33
06/30/22,3785.38
06/29/22,3818.83
06/28/22,3821.55
06/27/22,3900.11
06/24/22,3911.74
06/23/22,3795.73
06/22/22,3759.89
06/21/22,3764.79
06/17/22,3674.84
06/16/22,3666.77
06/15/22,3789.99
06/14/22,3735.48
06/13/22,3749.63
06/10/22,3900.86
06/09/22,4017.82
06/08/22,4115.77
06/07/22,4160.68
06/06/22,4121.43
06/03/22,4108.54
06/02/22,4176.82
06/01/22,4101.23
05/31/22,4132.15
05/27/22,4158.24
05/26/22,4057.84
05/25/22,3978.73
05/24/22,3941.48
05/23/22,3973.75
05/20/22,3901.36
05/19/22,3900.79
05/18/22,3923.68
05/17/22,4088.85
05/16/22,4008.01
05/13/22,4023.89
05/12/22,3930.08
05/11/22,3935.18
05/10/22,4001.05
05/09/22,3991.24
05/06/22,4123.34
05/05/22,4146.87
05/04/22,4300.17
05/03/22,4175.48
05/02/22,4155.38
04/29/22,4131.93
04/28/22,4287.5
04/27/22,4183.96
04/26/22,4175.2
04/25/22,4296.12
04/22/22,4271.78
04/21/22,4393.66
04/20/22,4459.45
04/19/22,4462.21
04/18/22,4391.69
04/14/22,4392.59
04/13/22,4446.59
04/12/22,4397.45
04/11/22,4412.53
04/08/22,4488.28
04/07/22,4500.21
04/06/22,4481.15
04/05/22,4525.12
04/04/22,4582.64
04/01/22,4545.86
03/31/22,4530.41
03/30/22,4602.45
03/29/22,4631.6
03/28/22,4575.52
03/25/22,4543.06
03/24/22,4520.16
03/23/22,4456.24
03/22/22,4511.61
03/21/22,4461.18
03/18/22,4463.12
03/17/22,4411.67
03/16/22,4357.86
03/15/22,4262.45
03/14/22,4173.11
03/11/22,4204.31
03/10/22,4259.52
03/09/22,4277.88
03/08/22,4170.7
03/07/22,4201.09
03/04/22,4328.87
03/03/22,4363.49
03/02/22,4386.54
